RunID,BuiltInSortTime,BubbleSortTime,Speedup
1,0.001038,0.007578,7.30057803468208
2,0.00102,0.006318,6.19411764705882
3,0.001009,0.004742,4.69970267591675
4,0.000703,0.004215,5.99573257467994
5,0.000617,0.003332,5.40032414910859
6,0.000408,0.0031,7.59803921568627
7,0.000359,0.002827,7.87465181058496
8,0.000366,0.002914,7.96174863387978
9,0.000361,0.003083,8.54016620498615
10,0.000504,0.003738,7.41666666666667
11,0.000493,0.003755,7.61663286004057
12,0.00051,0.003039,5.95882352941176
13,0.000377,0.002901,7.69496021220159
14,0.000365,0.002887,7.90958904109589
15,0.000358,0.002824,7.88826815642458
16,0.000351,0.002823,8.04273504273504
17,0.000357,0.002886,8.08403361344538
18,0.000389,0.00288,7.40359897172237
19,0.000365,0.00288,7.89041095890411
20,0.000349,0.002833,8.11747851002865
21,0.000357,0.002868,8.03361344537815
22,0.000374,0.002898,7.74866310160428
23,0.000383,0.002933,7.6579634464752
24,0.000374,0.002896,7.74331550802139
25,0.000471,0.00327,6.94267515923567
26,0.000391,0.00291,7.44245524296675
27,0.000366,0.003422,9.34972677595628
28,0.000471,0.003379,7.17409766454352
29,0.000387,0.002911,7.52196382428941
30,0.000476,0.003065,6.4390756302521
,,,7.42507695153745
,,,
Square Matrix Size,Built-in Average Speedup,spmdBubbleSort Average Speedup,
100x100,7.425,,
200x200,12.44,,
500x500,22.48,,
1000x1000,37.12,,
10000x10000,,,
