RunID BuiltInSortTime BubbleSortTime Speedup
1 0.065027 1.798457 27.6570809048549
2 0.047964 1.838135 38.3232215828538
3 0.04975 1.771167 35.6013467336683
4 0.04751 1.749741 36.8288991791202
5 0.046767 1.782856 38.1220946393825
6 0.049717 1.847148 37.1532473801718
7 0.046237 1.782989 38.5619525488245
8 0.049951 1.749299 35.020299893896
9 0.046992 1.749738 37.2348059244127
10 0.046661 1.777182 38.0870962902638
11 0.046675 1.71824 36.8128548473487
12 0.046298 1.71483 37.0389649660893
13 0.046377 1.713142 36.9394743083856
14 0.046269 1.712641 37.0148695670968
15 0.046216 1.720866 37.2352864808724
16 0.046701 1.721755 36.8676259609002
17 0.046431 1.74464 37.5748960823588
18 0.046489 1.733729 37.2933166985739
19 0.04664 1.716113 36.7948756432247
20 0.046346 1.722617 37.1686229663833
21 0.046334 1.713394 36.9791945439634
22 0.046293 1.731492 37.4028902857883
23 0.046391 1.744733 37.6092992175206
24 0.046159 1.717798 37.2148010138868
25 0.046378 1.714825 36.9749665789814
26 0.046615 1.715447 36.8003217848332
27 0.047024 1.720965 36.5975884654644
28 0.046339 1.716493 37.0420811843156
29 0.046373 1.721816 37.1297090979665
30 0.046331 1.721473 37.1559646888692
