RunID BuiltInSortTime BubbleSortTime Speedup
1 0.004508 0.031984 7.09494232475599
2 0.001681 0.01947 11.5823914336704
3 0.001792 0.019658 10.9698660714286
4 0.001686 0.019363 11.4845788849348
5 0.00184 0.019865 10.7961956521739
6 0.001571 0.024586 15.6499045194144
7 0.001568 0.020308 12.9515306122449
8 0.001612 0.019982 12.3957816377171
9 0.001599 0.019886 12.4365228267667
10 0.001541 0.019811 12.8559377027904
11 0.001551 0.020006 12.8987749838814
12 0.001643 0.019573 11.9129640900791
13 0.001553 0.0198 12.7495170637476
14 0.001561 0.019568 12.5355541319667
15 0.001555 0.019502 12.5414790996785
16 0.001635 0.020151 12.3247706422018
17 0.001531 0.01933 12.6257348138472
18 0.001489 0.019714 13.239758226998
19 0.001593 0.019577 12.2893910860013
20 0.001534 0.019408 12.651890482399
21 0.001613 0.019504 12.0917544947303
22 0.001535 0.019383 12.6273615635179
23 0.001569 0.01946 12.4028043339707
24 0.001588 0.019314 12.1624685138539
25 0.001573 0.019869 12.631277813096
26 0.00159 0.019416 12.211320754717
27 0.001585 0.019434 12.2611987381703
28 0.001582 0.019468 12.3059418457649
29 0.001527 0.019514 12.7793058284217
30 0.001586 0.019503 12.296973518285
