RunID BuiltInSumTime ParForSumTime
1 0.651 113.767
2 0.125 125.942
3 0.113 31.84
4 0.135 26.013
5 0.472 27.501
6 0.044 25.038
7 0.036 22.287
8 0.039 22.814
9 0.046 69.369
10 0.049 21.907
11 0.041 25.966
12 0.049 26.166
13 0.054 20.435
14 0.036 22.436
15 0.082 66.705
16 0.083 39.804
17 0.089 45.216
18 0.062 35.238
19 0.057 32.652
20 0.049 73.963
21 0.085 50.084
22 0.06 37.464
23 0.047 27.93
24 0.059 33.319
25 0.042 30.059
26 0.062 27.613
27 0.047 27.327
28 0.048 24.685
29 0.05 26.582
30 0.085 28.277
